"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2024","165.85","163.32","166.15","163.26","20.48M","1.16%"
"09/27/2024","163.95","162.81","165.70","162.63","21.10M","0.75%"
"09/26/2024","162.73","163.64","164.08","162.28","20.32M","0.77%"
"09/25/2024","161.49","161.47","162.81","161.30","18.87M","-0.49%"
"09/24/2024","162.29","163.03","163.22","160.69","23.33M","0.27%"
"09/23/2024","161.85","164.35","165.49","161.67","24.15M","-1.06%"
"09/20/2024","163.59","163.50","163.73","162.06","40.90M","0.89%"
"09/19/2024","162.14","163.71","163.79","161.34","26.59M","1.46%"
"09/18/2024","159.81","159.86","160.50","158.60","23.68M","0.31%"
"09/17/2024","159.32","159.02","160.55","158.38","20.72M","0.80%"
"09/16/2024","158.06","157.31","158.25","156.60","18.38M","0.38%"
"09/13/2024","157.46","155.43","158.38","155.21","29.59M","1.79%"
"09/12/2024","154.69","153.80","154.82","152.65","29.70M","2.34%"
"09/11/2024","151.16","149.92","151.50","147.52","29.61M","1.68%"
"09/10/2024","148.66","150.45","151.27","148.34","31.12M","-0.03%"
"09/09/2024","148.71","152.51","153.40","147.21","39.26M","-1.46%"
"09/06/2024","150.92","157.30","157.83","150.55","37.91M","-4.02%"
"09/05/2024","157.24","156.30","159.45","155.98","18.69M","0.50%"
"09/04/2024","156.45","156.65","159.00","155.96","19.35M","-0.58%"
"09/03/2024","157.36","161.72","161.85","156.48","38.95M","-3.68%"
"08/30/2024","163.38","162.62","163.66","161.69","22.12M","0.99%"
"08/29/2024","161.78","164.31","165.97","160.25","19.70M","-0.66%"
"08/28/2024","162.85","165.04","165.60","161.53","16.41M","-1.11%"
"08/27/2024","164.68","165.84","166.44","164.46","11.82M","-0.89%"
"08/26/2024","166.16","166.38","167.55","164.46","14.19M","0.33%"
"08/23/2024","165.62","164.72","166.18","163.83","13.96M","1.11%"
"08/22/2024","163.80","167.26","167.59","163.31","22.49M","-1.24%"
"08/21/2024","165.85","165.15","166.85","164.67","22.90M","-0.80%"
"08/20/2024","167.18","166.90","168.64","166.82","18.34M","0.31%"
"08/19/2024","166.67","165.28","166.69","164.26","22.42M","2.28%"
"08/16/2024","162.96","161.47","165.06","161.13","24.21M","1.03%"
"08/15/2024","161.30","160.50","161.63","159.61","31.52M","0.58%"
"08/14/2024","160.37","162.40","163.22","157.71","40.59M","-2.31%"
"08/13/2024","164.16","163.41","164.73","162.97","18.55M","1.15%"
"08/12/2024","162.29","164.35","164.90","161.84","15.90M","-0.84%"
"08/09/2024","163.67","160.01","163.79","159.06","28.60M","1.01%"
"08/08/2024","162.03","160.51","163.69","160.21","25.58M","1.94%"
"08/07/2024","158.94","161.25","162.98","158.47","25.14M","0.41%"
"08/06/2024","158.29","159.33","160.57","156.41","49.00M","-0.60%"
"08/05/2024","159.25","155.50","164.43","154.93","53.63M","-4.45%"
"08/02/2024","166.66","166.44","168.51","164.67","29.13M","-2.40%"
"08/01/2024","170.76","170.25","174.05","168.88","24.53M","-0.45%"
"07/31/2024","171.54","173.24","174.24","170.01","25.73M","0.73%"
"07/30/2024","170.29","170.24","171.23","168.44","18.96M","0.45%"
"07/29/2024","169.53","168.83","170.43","167.99","20.29M","1.51%"
"07/26/2024","167.00","167.15","168.09","164.06","41.34M","-0.17%"
"07/25/2024","167.28","172.52","173.42","167.19","44.85M","-3.10%"
"07/24/2024","172.63","173.60","176.19","171.82","49.59M","-5.04%"
"07/23/2024","181.79","182.05","183.61","181.54","36.35M","0.07%"
"07/22/2024","181.67","180.59","182.70","180.23","24.10M","2.26%"
"07/19/2024","177.66","178.88","180.29","177.13","18.88M","-0.02%"
"07/18/2024","177.69","181.93","182.50","176.47","25.32M","-1.84%"
"07/17/2024","181.02","182.96","183.55","179.90","20.73M","-1.58%"
"07/16/2024","183.92","187.36","188.68","183.37","18.29M","-1.40%"
"07/15/2024","186.53","184.92","188.24","184.92","16.47M","0.79%"
"07/12/2024","185.07","185.08","187.11","184.49","22.90M","-0.27%"
"07/11/2024","185.57","189.85","190.86","185.08","25.63M","-2.93%"
"07/10/2024","191.18","189.15","191.75","189.03","15.95M","1.16%"
"07/09/2024","188.98","190.31","191.36","188.72","15.14M","-0.03%"
"07/08/2024","189.03","189.90","190.17","187.78","21.04M","-0.82%"
"07/05/2024","190.60","185.85","190.86","185.80","20.97M","2.57%"
"07/03/2024","185.82","184.85","186.09","184.00","10.24M","0.31%"
"07/02/2024","185.24","182.05","185.57","181.56","17.37M","1.23%"
"07/01/2024","182.99","183.03","183.88","181.30","16.01M","0.46%"
"06/28/2024","182.15","184.32","185.13","181.96","29.16M","-1.76%"
"06/27/2024","185.41","184.18","186.05","184.02","18.85M","0.83%"
"06/26/2024","183.88","182.63","184.51","182.48","19.84M","-0.08%"
"06/25/2024","184.03","179.62","184.29","179.42","23.24M","2.68%"
"06/24/2024","179.22","180.16","180.89","178.67","18.30M","-0.23%"
"06/21/2024","179.63","177.00","180.85","176.61","58.58M","1.89%"
"06/20/2024","176.30","175.37","177.29","174.99","20.16M","0.69%"
"06/18/2024","175.09","177.14","177.38","174.10","21.87M","-1.21%"
"06/17/2024","177.24","175.46","178.36","174.81","19.62M","0.25%"
"06/14/2024","176.79","174.22","177.06","174.15","18.06M","0.93%"
"06/13/2024","175.16","176.11","176.74","174.88","20.91M","-1.48%"
"06/12/2024","177.79","178.25","180.41","176.11","27.86M","0.66%"
"06/11/2024","176.62","176.22","176.84","173.77","21.54M","0.92%"
"06/10/2024","175.01","174.97","177.06","172.76","23.78M","0.32%"
"06/07/2024","174.46","177.05","177.87","174.30","19.66M","-1.28%"
"06/06/2024","176.73","175.90","177.15","175.75","23.25M","0.75%"
"06/05/2024","175.41","175.20","176.65","173.93","22.07M","0.93%"
"06/04/2024","173.79","173.28","173.85","171.89","26.88M","0.36%"
"06/03/2024","173.17","172.54","174.52","171.16","27.46M","0.39%"
"05/31/2024","172.50","171.86","173.06","169.44","37.64M","0.23%"
"05/30/2024","172.11","175.20","175.22","171.79","22.96M","-2.15%"
"05/29/2024","175.90","175.43","176.84","174.72","23.39M","-0.28%"
"05/28/2024","176.40","174.45","177.27","174.37","20.57M","0.81%"
"05/24/2024","174.99","174.98","175.77","173.65","16.58M","0.83%"
"05/23/2024","173.55","177.07","178.25","172.95","21.02M","-1.60%"
"05/22/2024","176.38","176.64","177.15","175.21","17.88M","-0.83%"
"05/21/2024","177.85","176.90","178.15","175.81","16.99M","0.53%"
