"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2024","572.44","567.70","574.68","564.80","12.81M","0.90%"
"09/27/2024","567.36","570.10","570.84","564.51","9.40M","-0.08%"
"09/26/2024","567.84","575.73","577.40","562.35","14.40M","-0.08%"
"09/25/2024","568.31","564.05","576.88","563.72","16.54M","0.88%"
"09/24/2024","563.33","566.68","567.74","554.19","12.99M","-0.19%"
"09/23/2024","564.41","569.50","573.98","562.41","12.83M","0.55%"
"09/20/2024","561.35","560.00","564.50","556.30","22.07M","0.40%"
"09/19/2024","559.10","550.00","562.07","546.52","15.65M","3.93%"
"09/18/2024","537.95","537.07","544.20","533.90","10.32M","0.30%"
"09/17/2024","536.32","537.60","542.10","530.57","11.69M","0.57%"
"09/16/2024","533.28","524.54","534.10","517.40","9.53M","1.65%"
"09/13/2024","524.62","520.34","527.58","517.11","10.32M","-0.19%"
"09/12/2024","525.60","517.05","526.71","515.22","11.99M","2.69%"
"09/11/2024","511.83","507.01","513.12","495.60","10.78M","1.39%"
"09/10/2024","504.79","508.16","514.18","500.03","9.90M","0.00%"
"09/09/2024","504.79","506.16","511.33","502.08","11.05M","0.90%"
"09/06/2024","500.27","521.88","524.58","498.25","14.74M","-3.21%"
"09/05/2024","516.86","511.72","521.63","511.15","8.64M","0.80%"
"09/04/2024","512.74","506.07","516.59","504.07","8.34M","0.19%"
"09/03/2024","511.76","519.64","525.49","508.62","12.46M","-1.83%"
"08/30/2024","521.31","521.35","523.54","515.20","9.16M","0.60%"
"08/29/2024","518.22","519.05","527.20","515.68","8.32M","0.28%"
"08/28/2024","516.78","517.67","521.09","512.45","9.11M","-0.45%"
"08/27/2024","519.10","518.98","524.01","515.31","6.28M","-0.39%"
"08/26/2024","521.12","527.60","528.00","514.95","9.58M","-1.30%"
"08/23/2024","528.00","536.92","539.87","525.06","11.32M","-0.74%"
"08/22/2024","531.93","537.00","544.23","528.59","15.71M","-0.60%"
"08/21/2024","535.16","527.15","539.40","526.93","13.42M","1.60%"
"08/20/2024","526.73","528.35","531.09","525.88","7.94M","-0.48%"
"08/19/2024","529.28","526.87","531.66","522.76","9.88M","0.35%"
"08/16/2024","527.42","531.90","533.66","524.66","14.78M","-1.84%"
"08/15/2024","537.33","531.79","539.77","526.70","13.48M","2.01%"
"08/14/2024","526.76","528.06","534.00","523.13","11.44M","-0.34%"
"08/13/2024","528.54","520.01","531.50","518.15","13.74M","2.44%"
"08/12/2024","515.95","516.86","518.02","509.10","9.77M","-0.35%"
"08/09/2024","517.77","507.71","518.34","505.70","13.70M","1.60%"
"08/08/2024","509.63","497.50","509.96","494.72","16.16M","4.24%"
"08/07/2024","488.92","503.13","510.15","486.86","20.11M","-1.05%"
"08/06/2024","494.09","479.00","502.56","478.65","20.95M","3.86%"
"08/05/2024","475.73","451.35","483.48","450.80","21.40M","-2.54%"
"08/02/2024","488.14","489.00","501.14","476.15","24.04M","-1.93%"
"08/01/2024","497.74","521.00","527.17","492.10","43.08M","4.82%"
"07/31/2024","474.83","471.02","476.50","466.75","24.29M","2.51%"
"07/30/2024","463.19","467.00","472.73","456.70","11.39M","-0.54%"
"07/29/2024","465.71","469.88","473.96","465.02","11.34M","0.00%"
"07/26/2024","465.70","464.20","469.77","459.42","14.22M","2.71%"
"07/25/2024","453.41","463.26","463.55","442.65","18.24M","-1.70%"
"07/24/2024","461.27","472.30","476.30","460.58","17.65M","-5.61%"
"07/23/2024","488.69","489.84","495.22","487.72","9.46M","0.26%"
"07/22/2024","487.40","486.58","492.06","483.90","12.02M","2.23%"
"07/19/2024","476.79","476.06","486.71","475.71","15.15M","0.20%"
"07/18/2024","475.85","475.00","479.24","464.54","19.27M","3.00%"
